instance,filesize,timeread,timeub,num_vars,num_cfs,ub_init,domsize_mean,domsize_stddev,domsize_coefvar,domsize_min,domsize_max,arity_mean,arity_stddev,arity_coefvar,arity_min,arity_max,density1,density2,density3,arity4plus
CVPR/ChineseChars/TST_test_0001_88_115.uai,15668079,1.236102,0.027428,10120,307213,55522.92904,2,0,0,2,2,1.967058686,0.178483008,0.0907359853,1,2,1,0.002901177568,0,0
CVPR/ChineseChars/TST_test_0002_88_105.uai,14239504,1.105891,0.018165,9240,279523,50712.09644,2,0,0,2,2,1.966943686,0.1787836511,0.09089413814,1,2,1,0.00316607933,0,0
CVPR/ChineseChars/TST_test_0003_64_99.uai,9537503,0.759678,0.02592,6336,187741,34714.90696,2,0,0,2,2,1.966251378,0.1805814284,0.09184045868,1,2,1,0.004519469557,0,0
CVPR/ChineseChars/TST_test_0004_88_97.uai,13109862,1.051533,0.018977,8536,257371,47256.02117,2,0,0,2,2,1.96683387,0.1790702032,0.09104490515,1,2,1,0.00341549406,0,0
CVPR/ChineseChars/TST_test_0005_120_97.uai,18217554,1.41997,0.023228,11640,355483,64509.87937,2,0,0,2,2,1.967255818,0.1779662901,0.09046423371,1,2,1,0.002537999539,0,0
CVPR/ChineseChars/TST_test_0006_112_99.uai,17300224,1.353527,0.028451,11088,338077,61041.30098,2,0,0,2,2,1.967202738,0.1781055916,0.09053748664,1,2,1,0.002659903484,0,0
CVPR/ChineseChars/TST_test_0007_88_112.uai,15232134,1.208154,0.056907,9856,298906,53997.40759,2,0,0,2,2,1.967026423,0.1785674108,0.09078038236,1,2,1,0.002975881615,0,0
CVPR/ChineseChars/TST_test_0008_80_102.uai,12498119,0.97641,0.022854,8160,245368,45684.57173,2,0,0,2,2,1.96674383,0.1793047614,0.09116833555,1,2,1,0.00356288857,0,0
CVPR/ChineseChars/TST_test_0009_64_80.uai,7615809,0.604309,0.011051,5120,150178,27935.11143,2,0,0,2,2,1.965907124,0.1814677719,0.0923073983,1,2,1,0.005534604537,0,0
CVPR/ChineseChars/TST_test_0010_80_109.uai,13390938,1.095086,0.037834,8720,262903,48135.02573,2,0,0,2,2,1.966831873,0.1790754088,0.09104764428,1,2,1,0.003343207547,0,0
CVPR/ChineseChars/TST_test_0011_96_101.uai,14984235,1.190113,0.041177,9696,294031,53444.67364,2,0,0,2,2,1.967023885,0.178574048,0.09078387372,1,2,1,0.003024752901,0,0
CVPR/ChineseChars/TST_test_0012_88_103.uai,13967696,1.12217,0.029556,9064,273985,50733.36066,2,0,0,2,2,1.966917897,0.1788509924,0.09092956687,1,2,1,0.003224961311,0,0
CVPR/ChineseChars/TST_test_0013_64_94.uai,9035917,0.722256,0.019221,6016,177856,33145.91568,2,0,0,2,2,1.966174883,0.1807788107,0.09194442076,1,2,1,0.004748766382,0,0
CVPR/ChineseChars/TST_test_0014_72_73.uai,7845740,0.620078,0.010711,5256,154531,28919.69464,2,0,0,2,2,1.965987407,0.181261514,0.0921987157,1,2,1,0.005404543328,0,0
CVPR/ChineseChars/TST_test_0015_80_73.uai,8776443,0.694958,0.019412,5840,172723,31778.94443,2,0,0,2,2,1.966188637,0.1807433386,0.09192573652,1,2,1,0.004893964063,0,0
CVPR/ChineseChars/TST_test_0016_72_83.uai,8985052,0.706611,0.014016,5976,176941,32712.21813,2,0,0,2,2,1.96622603,0.1806468622,0.0918749215,1,2,1,0.004788050388,0,0
CVPR/ChineseChars/TST_test_0017_112_101.uai,17674438,1.366823,0.029843,11312,345199,62882.64506,2,0,0,2,2,1.967230496,0.1780327598,0.09049918665,1,2,1,0.002609510875,0,0
CVPR/ChineseChars/TST_test_0018_80_110.uai,13522590,1.088204,0.027141,8800,265408,48169.8315,2,0,0,2,2,1.966843501,0.1790450928,0.09103169252,1,2,1,0.003314012956,0,0
CVPR/ChineseChars/TST_test_0019_120_106.uai,20059365,1.584712,0.032923,12720,389908,71151.11925,2,0,0,2,2,1.96737692,0.1776480086,0.09029688556,1,2,1,0.002331405351,0,0
CVPR/ChineseChars/TST_test_0020_96_94.uai,13908185,1.109307,0.01952,9024,272800,50290.77399,2,0,0,2,2,1.966920821,0.1788433583,0.09092555043,1,2,1,0.003239554079,0,0
CVPR/ChineseChars/TST_test_0021_112_124.uai,22028102,1.691382,0.037325,13888,427102,76889.50954,2,0,0,2,2,1.967483177,0.1773682016,0.0901497932,1,2,1,0.002142529863,0,0
CVPR/ChineseChars/TST_test_0022_80_85.uai,10314987,0.820521,0.021003,6800,202783,37273.26199,2,0,0,2,2,1.966466617,0.1800247072,0.09154729892,1,2,1,0.004239010062,0,0
CVPR/ChineseChars/TST_test_0023_112_112.uai,19754836,1.530819,0.04338,12544,384370,69131.43534,2,0,0,2,2,1.967364779,0.1776799471,0.09031367697,1,2,1,0.002363209844,0,0
CVPR/ChineseChars/TST_test_0024_88_126.uai,17282477,1.354181,0.030248,11088,337672,62982.89473,2,0,0,2,2,1.967163401,0.1782087445,0.09059173446,1,2,1,0.002656608997,0,0
CVPR/ChineseChars/TST_test_0025_64_92.uai,8835546,0.712086,0.013703,5888,173902,32385.02558,2,0,0,2,2,1.96614185,0.1808639701,0.09198927843,1,2,1,0.004847118467,0,0
CVPR/ChineseChars/TST_test_0026_56_92.uai,7646248,0.609521,0.010977,5152,150694,28233.04867,2,0,0,2,2,1.965811512,0.1817130574,0.09243666357,1,2,1,0.005484296603,0,0
CVPR/ChineseChars/TST_test_0027_88_109.uai,14818055,1.177235,0.027601,9592,290599,53617.46661,2,0,0,2,2,1.966992316,0.1786565893,0.09082729399,1,2,1,0.003054527767,0,0
CVPR/ChineseChars/TST_test_0028_48_105.uai,7417532,0.584686,0.010771,5040,146323,27399.14717,2,0,0,2,2,1.965555654,0.182367576,0.09278169031,1,2,1,0.005563076259,0,0
CVPR/ChineseChars/TST_test_0029_96_117.uai,17536736,1.402643,0.037417,11232,342559,62371.37954,2,0,0,2,2,1.967211488,0.1780826376,0.09052541564,1,2,1,0.002626523592,0,0
CVPR/ChineseChars/TST_test_0030_112_123.uai,21837695,1.686414,0.034398,13776,423541,77448.72381,2,0,0,2,2,1.967474223,0.1773917996,0.09016219756,1,2,1,0.002159335471,0,0
CVPR/ChineseChars/TST_test_0031_64_78.uai,7419749,0.596719,0.013655,4992,146224,27574.5547,2,0,0,2,2,1.965860597,0.1815871795,0.09237032357,1,2,1,0.005668536699,0,0
CVPR/ChineseChars/TST_test_0032_64_89.uai,8526803,0.68485,0.014484,5696,167971,31194.27121,2,0,0,2,2,1.966089384,0.1809991317,0.09206047962,1,2,1,0.005002509347,0,0
CVPR/ChineseChars/TST_test_0033_88_84.uai,11267445,0.894691,0.022017,7392,221374,41299.1442,2,0,0,2,2,1.966608545,0.179656522,0.09135347372,1,2,1,0.003916625813,0,0
CVPR/ChineseChars/TST_test_0034_112_94.uai,16357746,1.269179,0.021186,10528,320272,58173.68742,2,0,0,2,2,1.967127941,0.1783016727,0.09064060807,1,2,1,0.002794810739,0,0
CVPR/ChineseChars/TST_test_0035_80_86.uai,10445075,0.874284,0.015703,6880,205288,37743.49912,2,0,0,2,2,1.966486107,0.1799741972,0.09152070619,1,2,1,0.004192233187,0,0
CVPR/ChineseChars/TST_test_0036_72_114.uai,12549093,0.963132,0.017488,8208,246412,45364.40925,2,0,0,2,2,1.966689934,0.1794449932,0.09124213739,1,2,1,0.003536122233,0,0
CVPR/ChineseChars/TST_test_0037_80_101.uai,12372641,0.996276,0.026989,8080,242863,44929.26036,2,0,0,2,2,1.966730214,0.1793401996,0.09118698554,1,2,1,0.00359664587,0,0
CVPR/ChineseChars/TST_test_0038_96_110.uai,16407697,1.307569,0.034626,10560,321328,57820.54864,2,0,0,2,2,1.967136384,0.1782795522,0.09062897401,1,2,1,0.002787080962,0,0
CVPR/ChineseChars/TST_test_0039_80_99.uai,12111163,0.956155,0.02322,7920,237853,43564.77728,2,0,0,2,2,1.966702123,0.17941329,0.09122545195,1,2,1,0.003666112444,0,0
CVPR/ChineseChars/TST_test_0040_80_93.uai,11342679,0.868831,0.01491,7440,222823,41170.08201,2,0,0,2,2,1.966610269,0.1796520435,0.09135111635,1,2,1,0.003891561763,0,0
CVPR/ChineseChars/TST_test_0041_88_96.uai,12972333,0.998134,0.024074,8448,254602,46513.94124,2,0,0,2,2,1.9668188,0.1791094872,0.09106557616,1,2,1,0.003449455114,0,0
CVPR/ChineseChars/TST_test_0042_72_104.uai,11400747,0.877608,0.014468,7488,224002,41483.26143,2,0,0,2,2,1.966571727,0.1797521169,0.09140379393,1,2,1,0.003862000402,0,0
CVPR/ChineseChars/TST_test_0043_72_106.uai,11626866,0.89742,0.015475,7632,228484,42204.67487,2,0,0,2,2,1.966597223,0.1796859234,0.09136895003,1,2,1,0.003792115192,0,0
CVPR/ChineseChars/TST_test_0044_56_93.uai,7730465,0.606053,0.011183,5208,152407,28408.84532,2,0,0,2,2,1.965828341,0.1816699109,0.09241392398,1,2,1,0.005428080833,0,0
CVPR/ChineseChars/TST_test_0045_80_120.uai,14803284,1.182246,0.028767,9600,290458,52621.90586,2,0,0,2,2,1.96694875,0.1787704253,0.09088718011,1,2,1,0.003047821822,0,0
CVPR/ChineseChars/TST_test_0046_96_105.uai,15612302,1.228972,0.026825,10080,306163,55695.90577,2,0,0,2,2,1.967076361,0.1784367471,0.0907116524,1,2,1,0.002914308314,0,0
CVPR/ChineseChars/TST_test_0047_112_121.uai,21469304,1.646853,0.038424,13552,416419,75373.55648,2,0,0,2,2,1.967455856,0.1774401953,0.0901876374,1,2,1,0.002193749103,0,0
CVPR/ChineseChars/TST_test_0048_72_98.uai,10712152,0.8402,0.01494,7056,210556,39266.81234,2,0,0,2,2,1.966488725,0.179967412,0.09151713389,1,2,1,0.004087980574,0,0
CVPR/ChineseChars/TST_test_0049_96_79.uai,11574191,0.906742,0.016353,7584,227305,41888.91633,2,0,0,2,2,1.966635138,0.1795874388,0.09131711079,1,2,1,0.003820605413,0,0
CVPR/ChineseChars/TST_test_0050_88_94.uai,12685240,0.982717,0.018674,8272,249064,46051.09524,2,0,0,2,2,1.966787653,0.1791906444,0.09110828213,1,2,1,0.003519439528,0,0
CVPR/ChineseChars/TST_test_0051_64_106.uai,10249892,0.807524,0.015953,6784,201580,37210.02923,2,0,0,2,2,1.966345868,0.1803372722,0.09171187792,1,2,1,0.004233235002,0,0
CVPR/ChineseChars/TST_test_0052_96_107.uai,15935816,1.27893,0.036042,10272,312229,56568.70093,2,0,0,2,2,1.96710107,0.178372056,0.09067762644,1,2,1,0.002862050958,0,0
CVPR/ChineseChars/TST_test_0053_88_118.uai,16107570,1.24744,0.02041,10384,315520,57535.41953,2,0,0,2,2,1.967089249,0.1784030073,0.0906939059,1,2,1,0.002830126939,0,0
CVPR/ChineseChars/TST_test_0054_88_106.uai,14380524,1.156815,0.019712,9328,282292,51464.61249,2,0,0,2,2,1.966956201,0.1787509608,0.09087694006,1,2,1,0.003137435884,0,0
CVPR/ChineseChars/TST_test_0055_96_108.uai,16093270,1.255358,0.021237,10368,315262,57746.84283,2,0,0,2,2,1.967113068,0.1783406343,0.09066109986,1,2,1,0.002836617585,0,0
CVPR/ChineseChars/TST_test_0056_88_112.uai,15237776,1.194154,0.023645,9856,298906,54011.85888,2,0,0,2,2,1.967026423,0.1785674108,0.09078038236,1,2,1,0.002975881615,0,0
